"Tidstämpel","Hur många dagar i veckan äter du kött?","Vilken typ av mat sort föredrar du?","Laga hemma eller äta ute?","Omkring vilken tid äter du lunch?"
"2022/03/22 9:57:14 em CET","3","Indisk mat","Laga hemma","12"
"2022/03/23 12:57:16 em CET","0","Japansk mat","Laga hemma","14"
"2022/03/23 2:44:35 em CET","4","Japansk mat","Laga hemma","12"
"2022/03/23 5:35:49 em CET","4","Italiensk mat","Laga hemma","10"
"2022/03/23 5:37:00 em CET","0","Thai mat","Äta ute!","12"
"2022/03/23 5:40:07 em CET","2","Thai mat","Laga hemma","12"
"2022/03/23 6:00:34 em CET","7","Svensk mat","Laga hemma","12"
"2022/03/23 6:03:37 em CET","0","All mat","Laga hemma","12"
"2022/03/23 7:04:16 em CET","7","Thai mat","Laga hemma","13"
"2022/03/23 7:18:34 em CET","3","Italiensk mat","Laga hemma","12"
"2022/03/23 7:41:10 em CET","6","Italiensk mat","Laga hemma","14"
"2022/03/23 7:46:27 em CET","4","Nyttig mat! ","Laga hemma","12"
"2022/03/23 8:02:10 em CET","6","Amerikansk mat","Laga hemma","12"
